N,absolute_change_near_cf_boundary,approximate_factor_acceptance_mass,approximate_mass_near_cf_boundary,approximate_order_acceptance_mass,base,cf_boundary_fraction,clean_distribution_tv,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,controlled_phase,controlled_phase_saving,cutoff,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_controlled_phase,exact_factor_acceptance_mass,exact_mass_near_cf_boundary,exact_order_acceptance_mass,fraction_change_near_cf_boundary,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,omitted_layers,order_dependent_approximate_mean_valid_phase_distance,order_dependent_exact_mean_valid_phase_distance,phase_modulus,phase_qubits,readout_bitflip_probability,shots,state_certified,state_m_shot_bound,state_norm_error,state_trace_distance,worst_case_certified,worst_case_m_shot_bound
35,7.93452031970487e-07,0.0,0.5985494652019425,0.67674963681351,11,0.37255859375,6.253784969424323e-07,148,2,92,0,65,1,10,True,4.608296463531537e-06,5.760370579414421e-07,66,0.0,0.5985494568077749,0.6767496369763801,0.6887161346928018,0.99999999994772,True,2.892195239340215e-05,35:11,False,False,0.05,1,0.005059664679426985,0.0050596186581960065,4096,12,0.01,8,True,0.005313864829545497,0.0007669903187426845,0.0006642331036931871,True,0.02454369260617026
35,7.93452031970487e-07,0.0,0.5985494652019425,0.67674963681351,11,0.37255859375,6.253784969424323e-07,148,2,92,0,65,1,10,True,9.216592927063074e-06,5.760370579414421e-07,66,0.0,0.5985494568077749,0.6767496369763801,0.6887161346928018,0.99999999994772,True,4.0901817325058314e-05,35:11,False,False,0.05,1,0.005059664679426985,0.0050596186581960065,4096,12,0.01,16,True,0.010627729659090994,0.0007669903187426845,0.0006642331036931871,True,0.04908738521234052
35,7.139306652183914e-06,0.0,0.619111202481581,0.6666491680924198,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,1.9165065352451414e-05,4.7912663381128534e-06,66,0.0,0.6191111858257561,0.6666491685818337,0.7450333740991624,0.999999431182217,True,0.002133197882138834,35:11,False,False,0.05,2,0.00020141117262766816,0.00020105126390784466,4096,12,0.0,4,True,0.009171858391839571,0.002869811072586457,0.0022929645979598927,False,0.06135923151542565
35,7.139306652183914e-06,0.0,0.619111202481581,0.6666491680924198,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,3.833013070490283e-05,4.7912663381128534e-06,66,0.0,0.6191111858257561,0.6666491685818337,0.7450333740991624,0.999999431182217,True,0.003016793944139783,35:11,False,False,0.05,2,0.00020141117262766816,0.00020105126390784466,4096,12,0.0,8,True,0.018343716783679142,0.002869811072586457,0.0022929645979598927,False,0.1227184630308513
35,7.139306652183914e-06,0.0,0.619111202481581,0.6666491680924198,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,7.666026140980565e-05,4.7912663381128534e-06,66,0.0,0.6191111858257561,0.6666491685818337,0.7450333740991624,0.999999431182217,True,0.004266381203529642,35:11,False,False,0.05,2,0.00020141117262766816,0.00020105126390784466,4096,12,0.0,16,True,0.036687433567358284,0.002869811072586457,0.0022929645979598927,False,0.2454369260617026
35,6.532228644186818e-06,0.0,0.5985495516039505,0.6767496299387677,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,1.7644760288485376e-05,4.411190072121344e-06,66,0.0,0.5985494568077749,0.6767496369763801,0.7404156857205504,0.9999999971655181,True,0.00015058504158602684,35:11,False,False,0.05,2,0.005059957551492342,0.0050596186581960065,4096,12,0.01,4,True,0.009171858391839571,0.002869811072586457,0.0022929645979598927,False,0.06135923151542565
35,6.532228644186818e-06,0.0,0.5985495516039505,0.6767496299387677,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,3.528952057697075e-05,4.411190072121344e-06,66,0.0,0.5985494568077749,0.6767496369763801,0.7404156857205504,0.9999999971655181,True,0.0002129594067981486,35:11,False,False,0.05,2,0.005059957551492342,0.0050596186581960065,4096,12,0.01,8,True,0.018343716783679142,0.002869811072586457,0.0022929645979598927,False,0.1227184630308513
35,6.532228644186818e-06,0.0,0.5985495516039505,0.6767496299387677,11,0.37255859375,4.7912663381128534e-06,144,6,92,0,63,3,9,True,7.05790411539415e-05,4.411190072121344e-06,66,0.0,0.5985494568077749,0.6767496369763801,0.7404156857205504,0.9999999971655181,True,0.00030117007801114184,35:11,False,False,0.05,2,0.005059957551492342,0.0050596186581960065,4096,12,0.01,16,True,0.036687433567358284,0.002869811072586457,0.0022929645979598927,False,0.2454369260617026
35,4.28388622962413e-05,0.0,0.6191115379346848,0.6666491560939566,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,0.00010648805923207339,2.6622014808018347e-05,66,0.0,0.6191111858257561,0.6666491685818337,0.8045758858818335,0.9999951157595408,True,0.006250860398177463,35:11,False,False,0.05,3,0.00020323263899416197,0.00020105126390784466,4096,12,0.0,4,True,0.024382523826187653,0.008186587973593798,0.006095630956546913,False,0.2086213871524472
35,4.28388622962413e-05,0.0,0.6191115379346848,0.6666491560939566,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,0.00021297611846414678,2.6622014808018347e-05,66,0.0,0.6191111858257561,0.6666491685818337,0.8045758858818335,0.9999951157595408,True,0.008839965198783313,35:11,False,False,0.05,3,0.00020323263899416197,0.00020105126390784466,4096,12,0.0,8,True,0.048765047652375305,0.008186587973593798,0.006095630956546913,False,0.4172427743048944
35,4.28388622962413e-05,0.0,0.6191115379346848,0.6666491560939566,11,0.37255859375,2.6622014808018347e-05,138,12,92,0,60,6,8,True,0.00042595223692829356,2.6622014808018347e-05,66,0.0,0.6191111858257561,0.6666491685818337,0.8045758858818335,0.9999951157595408,True,0.01250135443833031,35:11,False,False,0.05,3,0.00020323263899416197,0.00020105126390784466,4096,12,0.0,16,False,0.09753009530475061,0.008186587973593798,0.006095630956546913,False,0.8344855486097889
