N,base,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,omitted_layers,order_ci95_high,order_ci95_low,order_probability,readout_bitflip_probability,replicates,shots
35,2,8,1.0,0.9433739770288436,1.0,35:2,4.4882217480335385e-05,3,1.0,0.9433739770288436,1.0,0.01,64,4
35,2,11,1.0,0.9433739770288436,1.0,35:2,5.690624857379589e-05,0,1.0,0.9433739770288436,1.0,0.0,64,8
35,2,10,1.0,0.9433739770288436,1.0,35:2,5.724294169340283e-05,1,1.0,0.9433739770288436,1.0,0.0,64,8
35,2,9,1.0,0.9433739770288436,1.0,35:2,5.664321724907495e-05,2,1.0,0.9433739770288436,1.0,0.0,64,8
35,2,8,1.0,0.9433739770288436,1.0,35:2,5.621870150207542e-05,3,1.0,0.9433739770288436,1.0,0.0,64,8
35,2,11,1.0,0.9433739770288436,1.0,35:2,5.7110040870611556e-05,0,1.0,0.9433739770288436,1.0,0.01,64,8
35,2,10,1.0,0.9433739770288436,1.0,35:2,5.706309821107425e-05,1,1.0,0.9433739770288436,1.0,0.01,64,8
35,2,9,1.0,0.9433739770288436,1.0,35:2,5.6649108955753036e-05,2,1.0,0.9433739770288436,1.0,0.01,64,8
35,2,8,1.0,0.9433739770288436,1.0,35:2,5.538871118915267e-05,3,1.0,0.9433739770288436,1.0,0.01,64,8
35,2,11,1.0,0.9433739770288436,1.0,35:2,8.139253441186156e-05,0,1.0,0.9433739770288436,1.0,0.0,64,16
35,2,10,1.0,0.9433739770288436,1.0,35:2,8.253317901107948e-05,1,1.0,0.9433739770288436,1.0,0.0,64,16
35,2,9,1.0,0.9433739770288436,1.0,35:2,8.034697202674579e-05,2,1.0,0.9433739770288436,1.0,0.0,64,16
35,2,8,1.0,0.9433739770288436,1.0,35:2,8.258919660875108e-05,3,1.0,0.9433739770288436,1.0,0.0,64,16
35,2,11,1.0,0.9433739770288436,1.0,35:2,8.198822433769237e-05,0,1.0,0.9433739770288436,1.0,0.01,64,16
35,2,10,1.0,0.9433739770288436,1.0,35:2,8.053642886807211e-05,1,1.0,0.9433739770288436,1.0,0.01,64,16
35,2,9,1.0,0.9433739770288436,1.0,35:2,8.02395570644876e-05,2,1.0,0.9433739770288436,1.0,0.01,64,16
35,2,8,1.0,0.9433739770288436,1.0,35:2,8.20521036075661e-05,3,1.0,0.9433739770288436,1.0,0.01,64,16
39,2,11,1.0,0.9433739770288436,1.0,39:2,4.387114313431084e-05,0,1.0,0.9433739770288436,1.0,0.0,64,4
39,2,10,1.0,0.9433739770288436,1.0,39:2,4.5050237531540915e-05,1,1.0,0.9433739770288436,1.0,0.0,64,4
39,2,9,1.0,0.9433739770288436,1.0,39:2,4.3938167436863296e-05,2,1.0,0.9433739770288436,1.0,0.0,64,4
39,2,8,1.0,0.9433739770288436,1.0,39:2,4.554029328573961e-05,3,1.0,0.9433739770288436,1.0,0.0,64,4
39,2,11,1.0,0.9433739770288436,1.0,39:2,4.6876954002073035e-05,0,1.0,0.9433739770288436,1.0,0.01,64,4
39,2,10,1.0,0.9433739770288436,1.0,39:2,4.7506475311820395e-05,1,1.0,0.9433739770288436,1.0,0.01,64,4
39,2,9,1.0,0.9433739770288436,1.0,39:2,4.619525861926377e-05,2,1.0,0.9433739770288436,1.0,0.01,64,4
39,2,8,1.0,0.9433739770288436,1.0,39:2,4.587428156810347e-05,3,1.0,0.9433739770288436,1.0,0.01,64,4
39,2,11,1.0,0.9433739770288436,1.0,39:2,5.813279494759627e-05,0,1.0,0.9433739770288436,1.0,0.0,64,8
39,2,10,1.0,0.9433739770288436,1.0,39:2,5.760937892773654e-05,1,1.0,0.9433739770288436,1.0,0.0,64,8
39,2,9,1.0,0.9433739770288436,1.0,39:2,5.722006972064264e-05,2,1.0,0.9433739770288436,1.0,0.0,64,8
39,2,8,1.0,0.9433739770288436,1.0,39:2,5.73190554860048e-05,3,1.0,0.9433739770288436,1.0,0.0,64,8
39,2,11,1.0,0.9433739770288436,1.0,39:2,5.823434730700683e-05,0,1.0,0.9433739770288436,1.0,0.01,64,8
39,2,10,1.0,0.9433739770288436,1.0,39:2,5.799543760076631e-05,1,1.0,0.9433739770288436,1.0,0.01,64,8
39,2,9,1.0,0.9433739770288436,1.0,39:2,5.7007775467354804e-05,2,1.0,0.9433739770288436,1.0,0.01,64,8
39,2,8,1.0,0.9433739770288436,1.0,39:2,5.7084565924014896e-05,3,1.0,0.9433739770288436,1.0,0.01,64,8
39,2,11,1.0,0.9433739770288436,1.0,39:2,8.228984734159894e-05,0,1.0,0.9433739770288436,1.0,0.0,64,16
39,2,10,1.0,0.9433739770288436,1.0,39:2,8.127990622597281e-05,1,1.0,0.9433739770288436,1.0,0.0,64,16
39,2,9,1.0,0.9433739770288436,1.0,39:2,8.042384797590785e-05,2,1.0,0.9433739770288436,1.0,0.0,64,16
39,2,8,1.0,0.9433739770288436,1.0,39:2,8.035609425860457e-05,3,1.0,0.9433739770288436,1.0,0.0,64,16
39,2,11,1.0,0.9433739770288436,1.0,39:2,8.595122380938847e-05,0,1.0,0.9433739770288436,1.0,0.01,64,16
39,2,10,1.0,0.9433739770288436,1.0,39:2,8.106829773169011e-05,1,1.0,0.9433739770288436,1.0,0.01,64,16
39,2,9,1.0,0.9433739770288436,1.0,39:2,8.196226553991437e-05,2,1.0,0.9433739770288436,1.0,0.01,64,16
39,2,8,1.0,0.9433739770288436,1.0,39:2,8.316989078593906e-05,3,1.0,0.9433739770288436,1.0,0.01,64,16
51,2,11,1.0,0.9433739770288436,1.0,51:2,4.2598949221428484e-05,0,1.0,0.9433739770288436,1.0,0.0,64,4
51,2,10,1.0,0.9433739770288436,1.0,51:2,4.300524233258329e-05,1,1.0,0.9433739770288436,1.0,0.0,64,4
51,2,9,1.0,0.9433739770288436,1.0,51:2,4.320898551668506e-05,2,1.0,0.9433739770288436,1.0,0.0,64,4
51,2,8,1.0,0.9433739770288436,1.0,51:2,4.65032735519344e-05,3,1.0,0.9433739770288436,1.0,0.0,64,4
51,2,11,1.0,0.9433739770288436,1.0,51:2,4.277273728803266e-05,0,1.0,0.9433739770288436,1.0,0.01,64,4
51,2,10,1.0,0.9433739770288436,1.0,51:2,4.4214248191565275e-05,1,1.0,0.9433739770288436,1.0,0.01,64,4
