M,N,approximate_entropy_bits,approximate_peak,approximate_top2_gap,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,cp_saving,cutoff,cutoff_cp,d,distribution_m_shot_bound,distribution_tv,distribution_tv_certified,entropy_broadening_bits,exact_cp,exact_entropy_bits,exact_peak,exact_top2_gap,fraction_change_on_low_probability_outcomes,hellinger_affinity,hellinger_certified,hellinger_product_bound,m,model,omitted_layers,one_register_operator_error,original_certified,original_m_shot_bound,original_per_shot_bound,peak_torus_displacement,phase_triangle_bound,product_operator_error,product_triangle_bound,q,state_certified,state_m_shot_bound,state_norm_error,state_trace_bound,top2_gap_change
8,133,5.963017192629126,"[0, 0]",0.00012617540044630032,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.963017192629126,"[0, 0]",0.00012617540044630032,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.950279395762582e-07,0.0,4.2146848510894035e-08,0.0
8,161,5.72202351029564,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.15570175798829355,False,0.0433372175190323,6,5.678686292776607,"[0, 0]",0.0004290428009962703,0.4874559862057123,0.9637835265218759,False,0.6351056220900708,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3748327327151306,0.9588447663449515,-0.0004290428009962703
8,161,5.756128322837711,"[0, 0]",0.00048828125,14,4,18,2,2,1,4,2,0.33412148683611015,0.047731640976587164,False,0.0774420300611034,6,5.678686292776607,"[0, 0]",0.0004290428009962703,0.49999999999999944,0.9965782495602986,False,0.2164566714789519,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5870859512116511,0.4556382296502428,5.923844900372968e-05
8,161,5.678686292776607,"[0, 0]",0.0004290428009962703,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.678686292776607,"[0, 0]",0.0004290428009962703,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,1.475139697881291e-07,0.0,2.1073424255447017e-08,0.0
8,161,5.967240914751983,"[0, 0]",0.0,6,12,6,14,6,0,0,2,0.508087967334129,0.072583995333447,False,0.00963816734562073,6,5.957602747406362,"[0, 0]",1.6177095089817128e-06,0.5002115725776362,0.9928251363049484,False,0.30966976295642645,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3161949911451354,0.9546537751341072,-1.6177095089817128e-06
8,161,5.968200011747424,"[0, 0]",2.2489189296301393e-06,14,4,18,2,2,1,4,2,0.1234018458882502,0.017628835126892888,False,0.010597264341061674,6,5.957602747406362,"[0, 0]",1.6177095089817128e-06,0.500000000000001,0.9996757322784708,False,0.06730670020129663,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060621,0.4551916689564455,6.312094206484264e-07
8,161,5.957602747406362,"[0, 0]",1.6177095089817128e-06,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.957602747406362,"[0, 0]",1.6177095089817128e-06,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,3.129243850708008e-07,0.0,4.470348358154297e-08,0.0
16,55,6.448432982077017,"[0, 0]",0.0,12,24,6,22,12,0,0,2,1.0,0.5512260265753941,False,1.0260207590115797,12,5.422412223065438,"[0, 0]",0.0,0.53215868022841,0.7030899816722094,False,0.9963866662673716,7,A_uniform_hard_box,3,1.9957178464772065,False,1.0,1.0,0.0,6.675884388878311,1.999999999999999,13.351768777756622,4,False,1.0,1.327182784212366,0.9927194661163714,0.0
16,55,6.1905400579497325,"[0, 0]",0.0,24,12,24,4,6,1,6,2,1.0,0.269797038129302,False,0.7681278348842948,12,5.422412223065438,"[0, 0]",0.0,0.5387154467454609,0.9054450975097705,False,0.866645440665657,7,A_uniform_hard_box,2,1.66293922460509,False,1.0,1.0,0.0,1.9634954084936207,1.9999999999999991,3.9269908169872414,4,False,1.0,1.082901927486053,0.7408368808111846,0.0
16,55,5.5592307152411795,"[0, 0]",0.0,32,4,28,0,2,2,10,2,0.25999434422618806,0.03714204917516972,False,0.13681849217574182,12,5.422412223065438,"[0, 0]",0.0,0.5760543260992315,0.9933723556612988,False,0.2981507132406795,7,A_uniform_hard_box,1,0.3901806440322565,False,1.0,1.0,0.0,0.39269908169872414,0.7653668647301796,0.7853981633974483,4,False,1.0,0.30610782898876726,0.23722462684796852,0.0
16,55,5.422412223065438,"[0, 0]",0.0,36,0,28,0,0,3,12,2,0.0,0.0,True,0.0,12,5.422412223065438,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,4,True,3.613339559132499e-07,0.0,5.1619136559035694e-08,0.0
16,55,7.836164330114384,"[0, 0]",0.0,12,24,6,22,12,0,0,2,1.0,0.3501792145963074,False,0.267205934405192,12,7.568958395709192,"[0, 0]",0.0,0.526651076690047,0.897617978623314,False,0.8829294817397042,7,B_exact_finite_discrete_gaussian,3,1.9957178464772065,False,1.0,1.0,0.0,6.675884388878311,1.999999999999999,13.351768777756622,4,False,1.0,1.3488900214081563,0.984721486807445,0.0
