M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
32,115,3,0.5439018794747275,0.3086959366145158,0.421875,0.5439018794747275,0.3086959366145158,0.421875,0.001699434330475924,A_uniform_hard_box,1,64
32,115,4,0.5439018794747275,0.3086959366145158,0.421875,0.5439018794747275,0.3086959366145158,0.421875,0.0016934290197241353,A_uniform_hard_box,0,64
32,115,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0017163502770927153,B_exact_finite_discrete_gaussian,4,64
32,115,1,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0016911692464418593,B_exact_finite_discrete_gaussian,3,64
32,115,2,0.14997696642496888,0.024570803674792932,0.0625,0.14997696642496888,0.024570803674792932,0.0625,0.001688891255071212,B_exact_finite_discrete_gaussian,2,64
32,115,3,0.20898863291938535,0.054000447526830544,0.109375,0.20898863291938535,0.054000447526830544,0.109375,0.0016973997226159554,B_exact_finite_discrete_gaussian,1,64
32,115,4,0.1898309858327767,0.04367765783128784,0.09375,0.1898309858327767,0.04367765783128784,0.09375,0.001694225811661454,B_exact_finite_discrete_gaussian,0,64
8,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015393788326036884,A_uniform_hard_box,2,64
8,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017261119064642116,A_uniform_hard_box,1,64
8,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.002077324904348643,A_uniform_hard_box,0,64
8,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001566768891279935,B_exact_finite_discrete_gaussian,2,64
8,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001570170546983718,B_exact_finite_discrete_gaussian,1,64
8,119,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015546849035672494,B_exact_finite_discrete_gaussian,0,64
16,119,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016128020988617209,A_uniform_hard_box,3,64
16,119,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016159009355760645,A_uniform_hard_box,2,64
