M,N,cutoff,model,observed_value,proof_step,slack_factor,theoretical_bound
8,115,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,115,1,B_exact_finite_discrete_gaussian,0.45519166895644564,prepared_state_restriction,3.1068529123462754,1.4142135623730947
8,115,1,B_exact_finite_discrete_gaussian,0.06062205312498192,measurement_data_processing,7.508681172806804,0.45519166895644564
8,115,1,B_exact_finite_discrete_gaussian,0.24907924413797275,sample_union_vs_hellinger,1.703692225915903,0.42435437187487346
8,115,1,B_exact_finite_discrete_gaussian,0.015625,distribution_bound_vs_factor_event,15.941071624830256,0.24907924413797275
8,115,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,115,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,115,2,B_exact_finite_discrete_gaussian,4.2146848510894035e-08,prepared_state_restriction,0.0,0.0
8,115,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,4.2146848510894035e-08
8,115,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,115,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,119,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,119,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,119,0,A_uniform_hard_box,0.965772815632426,prepared_state_restriction,2.0708804054401972,1.9999999999999993
8,119,0,A_uniform_hard_box,0.201391989008219,measurement_data_processing,4.795487746997781,0.965772815632426
8,119,0,A_uniform_hard_box,0.6314457375865158,sample_union_vs_hellinger,1.583667353306012,1.0
8,119,0,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.6314457375865158
8,119,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,119,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,119,1,A_uniform_hard_box,0.4556382296502423,prepared_state_restriction,3.103807956278549,1.4142135623730947
8,119,1,A_uniform_hard_box,0.039062500000000076,measurement_data_processing,11.66433867904618,0.4556382296502423
8,119,1,A_uniform_hard_box,0.20890243313546414,sample_union_vs_hellinger,1.308924438532931,0.27343750000000056
8,119,1,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.20890243313546414
8,119,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,119,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,119,2,A_uniform_hard_box,3.332000937312528e-08,prepared_state_restriction,0.0,0.0
8,119,2,A_uniform_hard_box,0.0,measurement_data_processing,,3.332000937312528e-08
8,119,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,119,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,119,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,119,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,119,0,B_exact_finite_discrete_gaussian,0.9597844321061675,prepared_state_restriction,2.0838012506737216,1.9999999999999993
8,119,0,B_exact_finite_discrete_gaussian,0.02522392569736165,measurement_data_processing,38.050557380390565,0.9597844321061675
8,119,0,B_exact_finite_discrete_gaussian,0.0884073842610777,sample_union_vs_hellinger,1.9972028508399977,0.17656747988153154
8,119,0,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0884073842610777
8,119,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,119,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,119,1,B_exact_finite_discrete_gaussian,0.45519166895644564,prepared_state_restriction,3.1068529123462754,1.4142135623730947
8,119,1,B_exact_finite_discrete_gaussian,0.005213092330709022,measurement_data_processing,87.31701648079883,0.45519166895644564
8,119,1,B_exact_finite_discrete_gaussian,0.021632505342750182,sample_union_vs_hellinger,1.6868895089487541,0.036491646314963155
8,119,1,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.021632505342750182
8,119,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,119,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,119,2,B_exact_finite_discrete_gaussian,3.942476676500724e-08,prepared_state_restriction,0.0,0.0
8,119,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,3.942476676500724e-08
8,119,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,119,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,133,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,133,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,133,0,A_uniform_hard_box,0.9591452061690071,prepared_state_restriction,2.0851900078699734,1.9999999999999993
8,133,0,A_uniform_hard_box,0.25034207854047263,measurement_data_processing,3.8313383501525204,0.9591452061690071
8,133,0,A_uniform_hard_box,0.7540899292670105,sample_union_vs_hellinger,1.3261017833403752,1.0
8,133,0,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.7540899292670105
8,133,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,133,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,133,1,A_uniform_hard_box,0.4556382296502428,prepared_state_restriction,3.1038079562785454,1.4142135623730947
8,133,1,A_uniform_hard_box,0.07065457854047266,measurement_data_processing,6.448813920661095,0.4556382296502428
8,133,1,A_uniform_hard_box,0.2909760243892645,sample_union_vs_hellinger,1.6997347146432322,0.49458204978330866
8,133,1,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.2909760243892645
8,133,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,133,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,133,2,A_uniform_hard_box,2.9802322387695312e-08,prepared_state_restriction,0.0,0.0
8,133,2,A_uniform_hard_box,0.0,measurement_data_processing,,2.9802322387695312e-08
8,133,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,133,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,133,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,133,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,133,0,B_exact_finite_discrete_gaussian,0.9546590562243678,prepared_state_restriction,2.094988767937641,1.9999999999999993
8,133,0,B_exact_finite_discrete_gaussian,0.0803407871061355,measurement_data_processing,11.882620156100785,0.9546590562243678
8,133,0,B_exact_finite_discrete_gaussian,0.26667179302931243,sample_union_vs_hellinger,2.1089051202394375,0.5623855097429485
8,133,0,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.26667179302931243
8,133,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,133,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,133,1,B_exact_finite_discrete_gaussian,0.4551916689564455,prepared_state_restriction,3.106852912346276,1.4142135623730947
8,133,1,B_exact_finite_discrete_gaussian,0.02655747580097173,measurement_data_processing,17.139869480358904,0.4551916689564455
8,133,1,B_exact_finite_discrete_gaussian,0.09884390585416583,sample_union_vs_hellinger,1.880766740248834,0.1859023306068021
8,133,1,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.09884390585416583
8,133,2,B_exact_finite_discrete_gaussian,0.0,omitted_gate_triangle,,0.0
8,133,2,B_exact_finite_discrete_gaussian,0.0,product_tensor_triangle,,0.0
8,133,2,B_exact_finite_discrete_gaussian,4.2146848510894035e-08,prepared_state_restriction,0.0,0.0
8,133,2,B_exact_finite_discrete_gaussian,0.0,measurement_data_processing,,4.2146848510894035e-08
8,133,2,B_exact_finite_discrete_gaussian,0.0,sample_union_vs_hellinger,,0.0
8,133,2,B_exact_finite_discrete_gaussian,0.0,distribution_bound_vs_factor_event,,0.0
8,161,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,161,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,161,0,A_uniform_hard_box,0.9588447663449515,prepared_state_restriction,2.0858433713142723,1.9999999999999993
8,161,0,A_uniform_hard_box,0.15570175798829355,measurement_data_processing,6.15821413151316,0.9588447663449515
8,161,0,A_uniform_hard_box,0.6351056220900708,sample_union_vs_hellinger,1.5745412498618692,1.0
8,161,0,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.6351056220900708
8,161,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,161,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,161,1,A_uniform_hard_box,0.4556382296502428,prepared_state_restriction,3.1038079562785454,1.4142135623730947
8,161,1,A_uniform_hard_box,0.047731640976587164,measurement_data_processing,9.545832079683533,0.4556382296502428
8,161,1,A_uniform_hard_box,0.2164566714789519,sample_union_vs_hellinger,1.5435952357264253,0.33412148683611015
8,161,1,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.2164566714789519
8,161,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,161,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,161,2,A_uniform_hard_box,2.1073424255447017e-08,prepared_state_restriction,0.0,0.0
8,161,2,A_uniform_hard_box,0.0,measurement_data_processing,,2.1073424255447017e-08
8,161,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,161,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,161,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
