N,base,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,noise_axis,noise_setting,order_ci95_high,order_ci95_low,order_probability,realizations,shots
55,2,0.9999999999999999,0.9258973488472576,1.0,55:2,8.649129146457805e-05,rz_rotation,rz_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9275184258620602,0.7283255295714138,0.8541666666666666,65:3,8.268485483616435e-05,baseline,baseline,0.9275184258620602,0.7283255295714138,0.8541666666666666,48,1
65,3,0.8343419643836709,0.5900276538379887,0.7291666666666666,65:3,8.099391682965991e-05,controlled_phase,cphase_gain_0p02,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
65,3,0.8507951119028996,0.6121535625207293,0.75,65:3,8.211637305066688e-05,controlled_phase,cphase_gain_0p05,0.8507951119028996,0.6121535625207293,0.75,48,1
65,3,0.8669230897101096,0.6346046409154885,0.7708333333333334,65:3,7.984291733009741e-05,controlled_phase,cphase_gain_0p10,0.8669230897101096,0.6346046409154885,0.7708333333333334,48,1
65,3,0.8980872365179983,0.6805986065115378,0.8125,65:3,0.0001329350834566867,controlled_phase,cphase_sigma_0p02,0.8980872365179983,0.6805986065115378,0.8125,48,1
65,3,0.8343419643836709,0.5900276538379887,0.7291666666666666,65:3,0.00013642185543479476,controlled_phase,cphase_sigma_0p05,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
65,3,0.8507951119028996,0.6121535625207293,0.75,65:3,0.00011846006267054084,controlled_phase,cphase_sigma_0p10,0.8507951119028996,0.6121535625207293,0.75,48,1
65,3,0.8980872365179983,0.6805986065115378,0.8125,65:3,8.25954160366867e-05,cx_depolarizing,cx_depol_0p001,0.8980872365179983,0.6805986065115378,0.8125,48,1
65,3,0.800544878322685,0.5466666274950367,0.6875,65:3,8.384556288850338e-05,cx_depolarizing,cx_depol_0p005,0.800544878322685,0.5466666274950367,0.6875,48,1
65,3,0.800544878322685,0.5466666274950367,0.6875,65:3,8.37413335830206e-05,cx_depolarizing,cx_depol_0p010,0.800544878322685,0.5466666274950367,0.6875,48,1
65,3,0.8980872365179983,0.6805986065115378,0.8125,65:3,8.319270818901714e-05,rz_rotation,rz_bias_0p02,0.8980872365179983,0.6805986065115378,0.8125,48,1
65,3,0.9275184258620602,0.7283255295714138,0.8541666666666666,65:3,8.31519585820691e-05,rz_rotation,rz_bias_0p05,0.9275184258620602,0.7283255295714138,0.8541666666666666,48,1
65,3,0.9130458996054678,0.7042189996260375,0.8333333333333334,65:3,8.290447840408888e-05,rz_rotation,rz_bias_0p10,0.9130458996054678,0.7042189996260375,0.8333333333333334,48,1
65,3,0.9414302824959915,0.7529927291394518,0.875,65:3,0.00011223174957801045,rz_rotation,rz_sigma_0p02,0.9414302824959915,0.7529927291394518,0.875,48,1
65,3,0.8826985220411018,0.6574082647864651,0.7916666666666666,65:3,0.00010271529117744649,rz_rotation,rz_sigma_0p05,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
65,3,0.8669230897101096,0.6346046409154885,0.7708333333333334,65:3,0.0001060554798944698,rz_rotation,rz_sigma_0p10,0.8669230897101096,0.6346046409154885,0.7708333333333334,48,1
65,3,0.9884983479210344,0.8602408885222853,0.9583333333333334,65:3,8.210852229240118e-05,baseline,baseline,0.9884983479210344,0.8602408885222853,0.9583333333333334,48,2
65,3,0.9785171568687727,0.8316430233725778,0.9375,65:3,8.247833587423277e-05,controlled_phase,cphase_gain_0p02,0.9785171568687727,0.8316430233725778,0.9375,48,2
65,3,0.9884983479210344,0.8602408885222853,0.9583333333333334,65:3,8.318225081893615e-05,controlled_phase,cphase_gain_0p05,0.9884983479210344,0.8602408885222853,0.9583333333333334,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,8.103989512164844e-05,controlled_phase,cphase_gain_0p10,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,9.488112542991682e-05,controlled_phase,cphase_sigma_0p02,0.9999999999999999,0.9258973488472576,1.0,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,9.705122950739072e-05,controlled_phase,cphase_sigma_0p05,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,9.263624815503135e-05,controlled_phase,cphase_sigma_0p10,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9884983479210344,0.8602408885222853,0.9583333333333334,65:3,8.370652115748574e-05,cx_depolarizing,cx_depol_0p001,0.9884983479210344,0.8602408885222853,0.9583333333333334,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,8.48758121113254e-05,cx_depolarizing,cx_depol_0p005,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9785171568687727,0.8316430233725778,0.9375,65:3,8.52970212387542e-05,cx_depolarizing,cx_depol_0p010,0.9785171568687727,0.8316430233725778,0.9375,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,8.41615207415695e-05,rz_rotation,rz_bias_0p02,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9963129840206002,0.8910053086246883,0.9791666666666666,65:3,8.378822985832812e-05,rz_rotation,rz_bias_0p05,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,8.392881257653546e-05,rz_rotation,rz_bias_0p10,0.9999999999999999,0.9258973488472576,1.0,48,2
65,3,0.9785171568687727,0.8316430233725778,0.9375,65:3,9.045660287180605e-05,rz_rotation,rz_sigma_0p02,0.9785171568687727,0.8316430233725778,0.9375,48,2
65,3,0.9785171568687727,0.8316430233725778,0.9375,65:3,8.848083264941427e-05,rz_rotation,rz_sigma_0p05,0.9785171568687727,0.8316430233725778,0.9375,48,2
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,8.922393832714685e-05,rz_rotation,rz_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,2
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010087677128467476,baseline,baseline,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,9.837243730241123e-05,controlled_phase,cphase_gain_0p02,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001045364585176382,controlled_phase,cphase_gain_0p05,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,9.813799988478422e-05,controlled_phase,cphase_gain_0p10,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001160129789544347,controlled_phase,cphase_sigma_0p02,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00011040535476543785,controlled_phase,cphase_sigma_0p05,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010621175169944763,controlled_phase,cphase_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010176039540965576,cx_depolarizing,cx_depol_0p001,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010530914702637044,cx_depolarizing,cx_depol_0p005,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010500693618572161,cx_depolarizing,cx_depol_0p010,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010078987603871307,rz_rotation,rz_bias_0p02,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010162679215378982,rz_rotation,rz_bias_0p05,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010230383183322071,rz_rotation,rz_bias_0p10,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010589575049380073,rz_rotation,rz_sigma_0p02,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010382024962988605,rz_rotation,rz_sigma_0p05,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00010503991597943241,rz_rotation,rz_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,8
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.000121990438553136,baseline,baseline,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012218750058915853,controlled_phase,cphase_gain_0p02,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012602954211615724,controlled_phase,cphase_gain_0p05,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001211953106879567,controlled_phase,cphase_gain_0p10,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00014050002058259756,controlled_phase,cphase_sigma_0p02,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001340564807226959,controlled_phase,cphase_sigma_0p05,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00013184556307047993,controlled_phase,cphase_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001260529158268279,cx_depolarizing,cx_depol_0p001,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00013223435416875873,cx_depolarizing,cx_depol_0p005,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00013375614647278175,cx_depolarizing,cx_depol_0p010,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012523881378001533,rz_rotation,rz_bias_0p02,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012369350103350976,rz_rotation,rz_bias_0p05,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.0001244705405648953,rz_rotation,rz_bias_0p10,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012960935449276198,rz_rotation,rz_sigma_0p02,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012700087427219842,rz_rotation,rz_sigma_0p05,0.9999999999999999,0.9258973488472576,1.0,48,16
65,3,0.9999999999999999,0.9258973488472576,1.0,65:3,0.00012825437412781562,rz_rotation,rz_sigma_0p10,0.9999999999999999,0.9258973488472576,1.0,48,16
77,8,0.9414302824959915,0.7529927291394518,0.875,77:8,8.28957721144737e-05,baseline,baseline,0.9414302824959915,0.7529927291394518,0.875,48,1
77,8,0.8826985220411018,0.6574082647864651,0.7916666666666666,77:8,8.219885391251107e-05,controlled_phase,cphase_gain_0p02,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
77,8,0.8980872365179983,0.6805986065115378,0.8125,77:8,8.3016480251293e-05,controlled_phase,cphase_gain_0p05,0.8980872365179983,0.6805986065115378,0.8125,48,1
77,8,0.800544878322685,0.5466666274950367,0.6875,77:8,8.330123000632739e-05,controlled_phase,cphase_gain_0p10,0.800544878322685,0.5466666274950367,0.6875,48,1
77,8,0.8826985220411018,0.6574082647864651,0.7916666666666666,77:8,0.00016201385339324284,controlled_phase,cphase_sigma_0p02,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
77,8,0.8826985220411018,0.6574082647864651,0.7916666666666666,77:8,9.932193764446613e-05,controlled_phase,cphase_sigma_0p05,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
77,8,0.9275184258620602,0.7283255295714138,0.8541666666666666,77:8,0.0001206466055615844,controlled_phase,cphase_sigma_0p10,0.9275184258620602,0.7283255295714138,0.8541666666666666,48,1
77,8,0.8980872365179983,0.6805986065115378,0.8125,77:8,8.370218620257219e-05,cx_depolarizing,cx_depol_0p001,0.8980872365179983,0.6805986065115378,0.8125,48,1
77,8,0.6929894535958907,0.4227477150100165,0.5625,77:8,8.273610304361985e-05,cx_depolarizing,cx_depol_0p005,0.6929894535958907,0.4227477150100165,0.5625,48,1
77,8,0.6552890998421255,0.3832899563598438,0.5208333333333334,77:8,8.31415427455795e-05,cx_depolarizing,cx_depol_0p010,0.6552890998421255,0.3832899563598438,0.5208333333333334,48,1
77,8,0.800544878322685,0.5466666274950367,0.6875,77:8,8.282291582872858e-05,rz_rotation,rz_bias_0p02,0.800544878322685,0.5466666274950367,0.6875,48,1
77,8,0.8826985220411018,0.6574082647864651,0.7916666666666666,77:8,8.219966730393935e-05,rz_rotation,rz_bias_0p05,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
77,8,0.9275184258620602,0.7283255295714138,0.8541666666666666,77:8,8.328645708388649e-05,rz_rotation,rz_bias_0p10,0.9275184258620602,0.7283255295714138,0.8541666666666666,48,1
77,8,0.8175858393813663,0.5682047226383246,0.7083333333333334,77:8,9.94531468071121e-05,rz_rotation,rz_sigma_0p02,0.8175858393813663,0.5682047226383246,0.7083333333333334,48,1
77,8,0.8826985220411018,0.6574082647864651,0.7916666666666666,77:8,9.77230850670215e-05,rz_rotation,rz_sigma_0p05,0.8826985220411018,0.6574082647864651,0.7916666666666666,48,1
77,8,0.8343419643836709,0.5900276538379887,0.7291666666666666,77:8,9.608068739908049e-05,rz_rotation,rz_sigma_0p10,0.8343419643836709,0.5900276538379887,0.7291666666666666,48,1
77,8,0.9785171568687727,0.8316430233725778,0.9375,77:8,8.390116515026118e-05,baseline,baseline,0.9785171568687727,0.8316430233725778,0.9375,48,2
77,8,0.9963129840206002,0.8910053086246883,0.9791666666666666,77:8,8.370662635570625e-05,controlled_phase,cphase_gain_0p02,0.9963129840206002,0.8910053086246883,0.9791666666666666,48,2
