N,base,cutoff,factor_pair,factor_success,factors_used_only_posthoc,failure_counts,instance_id,noise_axis,noise_setting,order_success,realization,runtime_seconds,shot_seed,shots,stochastic_setting
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,17,0.00013491699064616114,2326079518,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 3}",35:2,baseline,baseline,True,17,8.399999933317304e-05,2326087518,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,18,3.54999938281253e-05,2326072519,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,18,3.8124999264255166e-05,2326073519,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,18,5.0874994485639036e-05,2326079519,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 3}",35:2,baseline,baseline,True,18,7.399999594781548e-05,2326087519,16,False
35,2,11,,False,True,"{""zero_phase"": 1}",35:2,baseline,baseline,False,19,3.100000321865082e-05,2326072520,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,19,3.516700235195458e-05,2326073520,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,19,4.9124995712190866e-05,2326079520,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,19,7.154099876061082e-05,2326087520,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,20,3.099998866673559e-05,2326072521,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,20,3.187500988133252e-05,2326073521,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 4}",35:2,baseline,baseline,True,20,4.012499994132668e-05,2326079521,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,20,7.624999852851033e-05,2326087521,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,21,3.083400952164084e-05,2326072522,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,21,3.174999437760562e-05,2326073522,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,21,5.299999611452222e-05,2326079522,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 1}",35:2,baseline,baseline,True,21,6.933401164133102e-05,2326087522,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,22,3.0750001315027475e-05,2326072523,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,22,3.258300421293825e-05,2326073523,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,22,4.8707996029406786e-05,2326079523,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,22,8.087500464171171e-05,2326087523,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,23,3.620899224188179e-05,2326072524,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,23,3.1041010515764356e-05,2326073524,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,23,4.645800800062716e-05,2326079524,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 3}",35:2,baseline,baseline,True,23,0.00022620799427386373,2326087524,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,24,4.820800677407533e-05,2326072525,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,24,3.508299414534122e-05,2326073525,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,24,7.770898810122162e-05,2326079525,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 3, ""zero_phase"": 3}",35:2,baseline,baseline,True,24,9.345899161417037e-05,2326087525,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,25,4.0166996768675745e-05,2326072526,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,25,4.033400909975171e-05,2326073526,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,25,5.433299520518631e-05,2326079526,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,25,7.412499689962715e-05,2326087526,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,26,3.095899592153728e-05,2326072527,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,26,3.500000457279384e-05,2326073527,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,26,5.26670046383515e-05,2326079527,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 2}",35:2,baseline,baseline,True,26,7.716599793639034e-05,2326087527,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,27,3.254199691582471e-05,2326072528,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,27,3.7833990063518286e-05,2326073528,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,27,5.2750008762814105e-05,2326079528,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,27,7.379200542345643e-05,2326087528,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,28,3.208400448784232e-05,2326072529,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,28,3.291599568910897e-05,2326073529,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,28,4.791701212525368e-05,2326079529,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,28,7.19579984433949e-05,2326087529,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,29,3.195799945387989e-05,2326072530,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,29,3.7542005884461105e-05,2326073530,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,29,7.125000411178917e-05,2326079530,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,29,8.145900210365653e-05,2326087530,16,False
35,2,11,,False,True,"{""zero_phase"": 1}",35:2,baseline,baseline,False,30,3.15000070258975e-05,2326072531,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,30,3.2916999771259725e-05,2326073531,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,30,4.729199281428009e-05,2326079531,8,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,30,7.320799340959638e-05,2326087531,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,31,3.0625000363215804e-05,2326072532,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,31,3.174999437760562e-05,2326073532,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,31,4.570800228975713e-05,2326079532,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,31,7.670800550840795e-05,2326087532,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,32,3.0041992431506515e-05,2326072533,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,32,3.3208008971996605e-05,2326073533,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,32,4.845800867769867e-05,2326079533,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,32,6.77499920129776e-05,2326087533,16,False
