N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,2,150,66,0.0,0.1,11,0.0,1.0,False,0.6141468041531815,0.03838417525957384,0.8307307756478944,0.8307307756478944,0.9867461627319545,False,0.5894992556411379,35:2,False,False,0.05,controlled_phase,cphase_sigma_0p10,0.8189573133625772,0.8189573133625772,4096,12,0.0,0.0,16,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.011987355291316358,0.011987355291316358,0.8307307756478944,0.8307307756478944,0.9996431306907217,True,0.026713503380362363,35:2,False,False,0.05,rz_rotation,rz_bias_0p02,0.8306179067215128,0.8306179067215128,4096,12,0.02,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.023974710582632716,0.011987355291316358,0.8307307756478944,0.8307307756478944,0.9996431306907217,True,0.0377718583693032,35:2,False,False,0.05,rz_rotation,rz_bias_0p02,0.8306179067215128,0.8306179067215128,4096,12,0.02,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.09589884233053086,0.011987355291316358,0.8307307756478944,0.8307307756478944,0.9996431306907217,False,0.07546291596619377,35:2,False,False,0.05,rz_rotation,rz_bias_0p02,0.8306179067215128,0.8306179067215128,4096,12,0.02,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.19179768466106173,0.011987355291316358,0.8307307756478944,0.8307307756478944,0.9996431306907217,False,0.1065686366358107,35:2,False,False,0.05,rz_rotation,rz_bias_0p02,0.8306179067215128,0.8306179067215128,4096,12,0.02,0.0,16,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.0314087347025955,0.0314087347025955,0.8307307756478944,0.8307307756478944,0.9975335605176101,False,0.07019113648502542,35:2,False,False,0.05,rz_rotation,rz_bias_0p05,0.8300256932089409,0.8300256932089409,4096,12,0.05,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.062817469405191,0.0314087347025955,0.8307307756478944,0.8307307756478944,0.9975335605176101,False,0.09914291687675007,35:2,False,False,0.05,rz_rotation,rz_bias_0p05,0.8300256932089409,0.8300256932089409,4096,12,0.05,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.251269877620764,0.0314087347025955,0.8307307756478944,0.8307307756478944,0.9975335605176101,False,0.19682827093728897,35:2,False,False,0.05,rz_rotation,rz_bias_0p05,0.8300256932089409,0.8300256932089409,4096,12,0.05,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.502539755241528,0.0314087347025955,0.8307307756478944,0.8307307756478944,0.9975335605176101,False,0.27564804165313017,35:2,False,False,0.05,rz_rotation,rz_bias_0p05,0.8300256932089409,0.8300256932089409,4096,12,0.05,0.0,16,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.06743346610447822,0.06743346610447822,0.8307307756478944,0.8307307756478944,0.9897278865921061,False,0.1429640182071109,35:2,False,False,0.05,rz_rotation,rz_bias_0p10,0.8279155693060762,0.8279155693060762,4096,12,0.1,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.13486693220895643,0.06743346610447822,0.8307307756478944,0.8307307756478944,0.9897278865921061,False,0.20114591747501354,35:2,False,False,0.05,rz_rotation,rz_bias_0p10,0.8279155693060762,0.8279155693060762,4096,12,0.1,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,0.5394677288358257,0.06743346610447822,0.8307307756478944,0.8307307756478944,0.9897278865921061,False,0.39022948905463156,35:2,False,False,0.05,rz_rotation,rz_bias_0p10,0.8279155693060762,0.8279155693060762,4096,12,0.1,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,False,1.0,0.06743346610447822,0.8307307756478944,0.8307307756478944,0.9897278865921061,False,0.5304424548710335,35:2,False,False,0.05,rz_rotation,rz_bias_0p10,0.8279155693060762,0.8279155693060762,4096,12,0.1,0.0,16,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.001463146026642504,0.001463146026642504,0.8307307756478944,0.8307307756478944,0.9998115581416089,True,0.01941257856257436,35:2,False,False,0.05,rz_rotation,rz_sigma_0p02,0.830543517229225,0.830543517229225,4096,12,0.0,0.02,1,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.002926292053285008,0.001463146026642504,0.8307307756478944,0.8307307756478944,0.9998115581416089,True,0.02745094530841487,35:2,False,False,0.05,rz_rotation,rz_sigma_0p02,0.830543517229225,0.830543517229225,4096,12,0.0,0.02,2,True,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.011705168213140032,0.001463146026642504,0.8307307756478944,0.8307307756478944,0.9998115581416089,False,0.05487086876657343,35:2,False,False,0.05,rz_rotation,rz_sigma_0p02,0.830543517229225,0.830543517229225,4096,12,0.0,0.02,8,True,True,0.0
