N,M,model,cutoff,factor_probability,ci95_low,ci95_high,mean_lll_seconds
77,32,A_uniform_hard_box,4,0.9375,0.7167073163197013,0.9888809426916687,0.002083007635519607
77,32,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.001676385505561484
77,32,B_exact_finite_discrete_gaussian,1,0.5,0.2799923761135083,0.7200076238864916,0.0016924480078159831
77,32,B_exact_finite_discrete_gaussian,2,0.8125,0.5699064013154177,0.9340852122641324,0.0017008150061883498
77,32,B_exact_finite_discrete_gaussian,3,0.9375,0.7167073163197013,0.9888809426916687,0.001736570367938839
77,32,B_exact_finite_discrete_gaussian,4,0.9375,0.7167073163197013,0.9888809426916687,0.0016652081903885119
143,8,A_uniform_hard_box,0,0.5,0.2799923761135083,0.7200076238864916,0.0015463645686395466
143,8,A_uniform_hard_box,1,0.9375,0.7167073163197013,0.9888809426916687,0.0015889426213107072
143,8,A_uniform_hard_box,2,0.9375,0.7167073163197013,0.9888809426916687,0.0015828359319129959
143,8,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.0015389844993478619
143,8,B_exact_finite_discrete_gaussian,1,0.875,0.6397666856325173,0.9650232506629428,0.0015670495631638914
143,8,B_exact_finite_discrete_gaussian,2,0.8125,0.5699064013154177,0.9340852122641324,0.0015821848719497211
143,16,A_uniform_hard_box,0,0.375,0.18480982554752806,0.613593529020652,0.001591682252183091
143,16,A_uniform_hard_box,1,0.5625,0.33178195606776517,0.7690163666481448,0.0016366536219720729
143,16,A_uniform_hard_box,2,0.9375,0.7167073163197013,0.9888809426916687,0.0016810467568575405
143,16,A_uniform_hard_box,3,1.0,0.8063865817272802,1.0,0.0016497448123118374
143,16,B_exact_finite_discrete_gaussian,0,0.25,0.10181901984237346,0.49498768929398645,0.0016295206805807538
143,16,B_exact_finite_discrete_gaussian,1,0.6875,0.4440393186673406,0.8583556494803894,0.0016179868725885171
143,16,B_exact_finite_discrete_gaussian,2,0.9375,0.7167073163197013,0.9888809426916687,0.001666528627538355
143,16,B_exact_finite_discrete_gaussian,3,0.9375,0.7167073163197013,0.9888809426916687,0.0016528125561308116
143,32,A_uniform_hard_box,0,0.0625,0.01111905730833121,0.2832926836802987,0.0016707316171959974
143,32,A_uniform_hard_box,1,0.4375,0.2309836333518552,0.6682180439322347,0.0017671301357040647
143,32,A_uniform_hard_box,2,0.875,0.6397666856325173,0.9650232506629428,0.001746114550769562
143,32,A_uniform_hard_box,3,0.9375,0.7167073163197013,0.9888809426916687,0.001841189878177829
143,32,A_uniform_hard_box,4,0.9375,0.7167073163197013,0.9888809426916687,0.0017884373773995321
143,32,B_exact_finite_discrete_gaussian,0,0.1875,0.06591478773586765,0.4300935986845823,0.0016708932525943965
143,32,B_exact_finite_discrete_gaussian,1,0.375,0.18480982554752806,0.613593529020652,0.0017026330751832575
143,32,B_exact_finite_discrete_gaussian,2,0.875,0.6397666856325173,0.9650232506629428,0.0016784451800049283
143,32,B_exact_finite_discrete_gaussian,3,0.75,0.5050123107060135,0.8981809801576265,0.0017436276175430976
143,32,B_exact_finite_discrete_gaussian,4,0.875,0.6397666856325173,0.9650232506629428,0.0017744686956575606
