N,bounded_product_diversity_B2,bounded_relation_count_B2,candidate_pool,claim_augmented_norm_bound,known_factors_posthoc,method,relation_norm_bound_T,selected_bases,selected_pairs,selected_roots,selection_seed,selector_setup_factor_leak,subgroup_overlap_score
2491,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",complete_selector,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2066470101,False,1.0
2491,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",random_coprime_roots,28,"[841, 961, 49]","[{""root"": 29, ""base"": 841}, {""root"": 31, ""base"": 961}, {""root"": 7, ""base"": 49}]","[29, 31, 7]",2066570101,False,1.0
2491,0.616,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2066670101,False,1.0
2501,0.88,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2076170101,False,0.21666666666666667
2501,0.88,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2076270101,False,0.21666666666666667
2501,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",subgroup_overlap_only,28,"[4, 9, 121]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 11, ""base"": 121}]","[2, 3, 11]",2076370101,False,0.06666666666666667
2501,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",complete_selector,28,"[4, 9, 121]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 11, ""base"": 121}]","[2, 3, 11]",2076470101,False,0.06666666666666667
2501,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",random_coprime_roots,28,"[961, 289, 25]","[{""root"": 31, ""base"": 961}, {""root"": 17, ""base"": 289}, {""root"": 5, ""base"": 25}]","[31, 17, 5]",2076570101,False,0.13333333333333333
2501,0.88,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 61]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2076670101,False,0.21666666666666667
2537,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2086170101,False,1.0
2537,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2086270101,False,1.0
2537,0.952,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",subgroup_overlap_only,28,"[4, 49, 121]","[{""root"": 2, ""base"": 4}, {""root"": 7, ""base"": 49}, {""root"": 11, ""base"": 121}]","[2, 7, 11]",2086370101,False,0.5555555555555555
2537,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",complete_selector,28,"[4, 49, 1369]","[{""root"": 2, ""base"": 4}, {""root"": 7, ""base"": 49}, {""root"": 37, ""base"": 1369}]","[2, 7, 37]",2086470101,False,0.5555555555555555
2537,0.936,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 59]",random_coprime_roots,28,"[529, 169, 9]","[{""root"": 23, ""base"": 529}, {""root"": 13, ""base"": 169}, {""root"": 3, ""base"": 9}]","[23, 13, 3]",2086570101,False,1.0
