M,certified,cp_saving,cutoff,cutoff_cp,d,dimensionless_ratio,exact_cp,loss_budget,m,operator_tv_bound,q,selected_cutoff,selected_exact,two_qubit_saving
64,False,20,1,10,2,20.0,30,0.2,4,1.0,6,5,True,20
64,False,12,2,18,2,20.0,30,0.2,4,1.0,6,5,True,12
64,False,6,3,24,2,20.0,30,0.2,4,1.0,6,5,True,6
64,False,2,4,28,2,7.853981633974483,30,0.2,4,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.2,4,0.0,6,5,True,0
64,False,30,0,0,2,160.0,30,0.05,8,1.0,6,5,True,30
64,False,20,1,10,2,160.0,30,0.05,8,1.0,6,5,True,20
64,False,12,2,18,2,160.0,30,0.05,8,1.0,6,5,True,12
64,False,6,3,24,2,160.0,30,0.05,8,1.0,6,5,True,6
64,False,2,4,28,2,62.83185307179586,30,0.05,8,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.05,8,0.0,6,5,True,0
64,False,30,0,0,2,80.0,30,0.1,8,1.0,6,5,True,30
64,False,20,1,10,2,80.0,30,0.1,8,1.0,6,5,True,20
64,False,12,2,18,2,80.0,30,0.1,8,1.0,6,5,True,12
64,False,6,3,24,2,80.0,30,0.1,8,1.0,6,5,True,6
64,False,2,4,28,2,31.41592653589793,30,0.1,8,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.1,8,0.0,6,5,True,0
64,False,30,0,0,2,40.0,30,0.2,8,1.0,6,5,True,30
64,False,20,1,10,2,40.0,30,0.2,8,1.0,6,5,True,20
64,False,12,2,18,2,40.0,30,0.2,8,1.0,6,5,True,12
64,False,6,3,24,2,40.0,30,0.2,8,1.0,6,5,True,6
64,False,2,4,28,2,15.707963267948966,30,0.2,8,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.2,8,0.0,6,5,True,0
64,False,30,0,0,2,240.0,30,0.05,12,1.0,6,5,True,30
64,False,20,1,10,2,240.0,30,0.05,12,1.0,6,5,True,20
64,False,12,2,18,2,240.0,30,0.05,12,1.0,6,5,True,12
64,False,6,3,24,2,240.0,30,0.05,12,1.0,6,5,True,6
64,False,2,4,28,2,94.24777960769379,30,0.05,12,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.05,12,0.0,6,5,True,0
64,False,30,0,0,2,120.0,30,0.1,12,1.0,6,5,True,30
64,False,20,1,10,2,120.0,30,0.1,12,1.0,6,5,True,20
64,False,12,2,18,2,120.0,30,0.1,12,1.0,6,5,True,12
64,False,6,3,24,2,120.0,30,0.1,12,1.0,6,5,True,6
64,False,2,4,28,2,47.12388980384689,30,0.1,12,0.39269908169872414,6,5,True,2
64,True,0,5,30,2,0.0,30,0.1,12,0.0,6,5,True,0
64,False,30,0,0,2,60.0,30,0.2,12,1.0,6,5,True,30
64,False,20,1,10,2,60.0,30,0.2,12,1.0,6,5,True,20
64,False,12,2,18,2,60.0,30,0.2,12,1.0,6,5,True,12
64,False,6,3,24,2,60.0,30,0.2,12,1.0,6,5,True,6
