N,M,model,cutoff,factor_probability,ci95_low,ci95_high,mean_lll_seconds
35,32,B_exact_finite_discrete_gaussian,3,0.4375,0.2309836333518552,0.6682180439322347,0.0019972603804490063
35,32,B_exact_finite_discrete_gaussian,4,1.0,0.8063865817272802,1.0,0.002001343684241874
77,8,A_uniform_hard_box,0,0.6875,0.4440393186673406,0.8583556494803894,0.0017115886257670354
77,8,A_uniform_hard_box,1,0.5625,0.33178195606776517,0.7690163666481448,0.0018304088116565254
77,8,A_uniform_hard_box,2,0.6875,0.4440393186673406,0.8583556494803894,0.0016342576891474891
77,8,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.0016583098185947165
77,8,B_exact_finite_discrete_gaussian,1,0.3125,0.14164435051961052,0.5559606813326594,0.0016855208777997177
77,8,B_exact_finite_discrete_gaussian,2,1.0,0.8063865817272802,1.0,0.0017636145057622343
77,16,A_uniform_hard_box,0,0.3125,0.14164435051961052,0.5559606813326594,0.0017792577455111314
77,16,A_uniform_hard_box,1,0.625,0.3864064709793481,0.815190174452472,0.0018251328110636678
77,16,A_uniform_hard_box,2,0.375,0.18480982554752806,0.613593529020652,0.0018709009964368306
77,16,A_uniform_hard_box,3,1.0,0.8063865817272802,1.0,0.001806744752684608
77,16,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.0018454427518008742
77,16,B_exact_finite_discrete_gaussian,1,0.3125,0.14164435051961052,0.5559606813326594,0.0018277055605722126
77,16,B_exact_finite_discrete_gaussian,2,0.1875,0.06591478773586765,0.4300935986845823,0.0018571561959106475
77,16,B_exact_finite_discrete_gaussian,3,0.875,0.6397666856325173,0.9650232506629428,0.002457408692862373
77,32,A_uniform_hard_box,0,0.6875,0.4440393186673406,0.8583556494803894,0.001939557430887362
77,32,A_uniform_hard_box,1,0.625,0.3864064709793481,0.815190174452472,0.001923046751471702
77,32,A_uniform_hard_box,2,0.5625,0.33178195606776517,0.7690163666481448,0.0018793073177221231
77,32,A_uniform_hard_box,3,0.5,0.2799923761135083,0.7200076238864916,0.0020357525609142613
77,32,A_uniform_hard_box,4,0.9375,0.7167073163197013,0.9888809426916687,0.001971020865312312
77,32,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.0020669557525252458
77,32,B_exact_finite_discrete_gaussian,1,0.4375,0.2309836333518552,0.6682180439322347,0.0020214038049743976
77,32,B_exact_finite_discrete_gaussian,2,0.25,0.10181901984237346,0.49498768929398645,0.0020622758675017394
77,32,B_exact_finite_discrete_gaussian,3,0.5,0.2799923761135083,0.7200076238864916,0.0021231744285614695
77,32,B_exact_finite_discrete_gaussian,4,0.9375,0.7167073163197013,0.9888809426916687,0.0021315233134373557
143,8,A_uniform_hard_box,0,0.5,0.2799923761135083,0.7200076238864916,0.0020110469376959372
143,8,A_uniform_hard_box,1,0.25,0.10181901984237346,0.49498768929398645,0.0017323566826235037
143,8,A_uniform_hard_box,2,0.9375,0.7167073163197013,0.9888809426916687,0.0018382941925665364
143,8,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.0017278829327551648
143,8,B_exact_finite_discrete_gaussian,1,0.4375,0.2309836333518552,0.6682180439322347,0.0016284009361697827
143,8,B_exact_finite_discrete_gaussian,2,0.8125,0.5699064013154177,0.9340852122641324,0.0016655913168506231
143,16,A_uniform_hard_box,0,0.375,0.18480982554752806,0.613593529020652,0.001734260320517933
143,16,A_uniform_hard_box,1,0.125,0.034976749337057134,0.3602333143674828,0.0019133071837131865
143,16,A_uniform_hard_box,2,0.25,0.10181901984237346,0.49498768929398645,0.0018853566143661737
143,16,A_uniform_hard_box,3,1.0,0.8063865817272802,1.0,0.0018644661286089104
143,16,B_exact_finite_discrete_gaussian,0,0.25,0.10181901984237346,0.49498768929398645,0.0017463386866438668
143,16,B_exact_finite_discrete_gaussian,1,0.3125,0.14164435051961052,0.5559606813326594,0.001745786372339353
143,16,B_exact_finite_discrete_gaussian,2,0.1875,0.06591478773586765,0.4300935986845823,0.001838820317061618
143,16,B_exact_finite_discrete_gaussian,3,0.9375,0.7167073163197013,0.9888809426916687,0.001820645687985234
