algorithm,approximation_level,endpoint,exact_task_success_probability,instance_id,measured_tv,resource_controlled_phase,resource_cx,resource_depth,state_specific_certified,task_difference,task_success_probability,worst_case_certified
Shor,2,order,1.0,39:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,39:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,39:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,39:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,39:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,39:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,39:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,39:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,39:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,39:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,39:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,39:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,51:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,51:2,0.0,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,51:2,0.0,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,51:2,0.0,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,0.984375,55:2,0.0,0,0,0,True,0.0,0.984375,True
Shor,0,factor,0.984375,55:2,0.0,0,0,0,True,0.0,0.984375,True
Shor,1,order,0.984375,55:2,4.684108080184042e-17,1,2,0,True,0.0,0.984375,True
Shor,1,factor,0.984375,55:2,4.684108080184042e-17,1,2,0,True,0.0,0.984375,True
Shor,2,order,0.984375,55:2,7.042946607521499e-17,3,6,0,True,0.0,0.984375,False
Shor,2,factor,0.984375,55:2,7.042946607521499e-17,3,6,0,True,0.0,0.984375,False
Shor,3,order,0.984375,55:2,7.768154582811772e-06,6,12,0,True,0.0,0.984375,False
Shor,3,factor,0.984375,55:2,7.768154582811772e-06,6,12,0,True,0.0,0.984375,False
Shor,0,order,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,55:2,4.684108080184042e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,55:2,4.684108080184042e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,55:2,7.042946607521499e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,55:2,7.042946607521499e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,55:2,7.768154582811772e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,55:2,7.768154582811772e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,55:2,2.566552181827893e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,55:2,5.776695878847364e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,55:2,8.40632388706534e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,55:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,55:2,4.684108080184042e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,55:2,4.684108080184042e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,55:2,7.042946607521499e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,55:2,7.042946607521499e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,55:2,7.768154582811772e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,55:2,7.768154582811772e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.667657326272233e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,65:3,8.768164620207214e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,6.253784970195182e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,65:3,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,65:3,1.6563299149639317e-18,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,65:3,1.930622840650393e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,65:3,5.760370580167457e-07,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,77:8,7.496983895082263e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,77:8,7.496983895082263e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,77:8,1.622780650629361e-07,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,77:8,1.622780650629361e-07,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,77:8,1.3423054377136756e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,77:8,1.3423054377136756e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,77:8,8.113701966533219e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,77:8,8.113701966533219e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,77:8,1.492691112653117e-07,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,77:8,1.492691112653117e-07,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,77:8,1.2398591639804431e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,77:8,1.2398591639804431e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,77:8,7.496983895082263e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,77:8,7.496983895082263e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,77:8,1.622780650629361e-07,3,6,0,True,0.0,1.0,True
Shor,2,factor,1.0,77:8,1.622780650629361e-07,3,6,0,True,0.0,1.0,True
Shor,3,order,1.0,77:8,1.3423054377136756e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,77:8,1.3423054377136756e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,77:8,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,77:8,8.113701966533219e-17,1,2,0,True,0.0,1.0,True
