N,amplitude_squared_norm,bases,chi_square_from_parseval_kernel,chi_square_from_probabilities,gaussian_radius_R,joint_entropy_bits,method,model,modulus_D,parseval_absolute_error,probability_sha256,reconstruction_scale,roots,support_size,total_correlation_bits
2279,262144.0,"[961, 4, 25]",141.49499329319224,141.49499329319224,,12.549381136900898,random_coprime_roots,A_uniform_hard_box,64,0.0,dd69c60e495bd2b632fe31aa958fc72eb48d7595eaf38eb26fe084e7814d9e0d,13,"[31, 2, 5]",262144,5.450618863099102
2279,1448.1546878630381,"[961, 4, 25]",6.551743889059966,6.551743889059967,16.0,15.689522749680695,random_coprime_roots,B_exact_gaussian_state,64,8.881784197001252e-16,27eb3ca2e46677e84cd3eca46b5885d77dc868f415425e39a1896a48bf47b591,13,"[31, 2, 5]",262144,2.3104772503193054
2279,262144.0,"[4, 9, 25]",141.39874621247873,141.39874621247873,,12.56104948914938,regev_small_prime_roots,A_uniform_hard_box,64,0.0,336e40e689bfe30d7e6691686e6a840494b3e569416ef4f538eed77f71f22126,13,"[2, 3, 5]",262144,5.438950510850621
2279,1448.1546878630381,"[4, 9, 25]",6.575872080915006,6.575872080930738,16.0,15.653237515353151,regev_small_prime_roots,B_exact_gaussian_state,64,1.5732304348148318e-11,d9639eaf48a00ce70bc4d0c6e07a7eff5cacf661d8a2e58662300edbcddcbf8a,13,"[2, 3, 5]",253862,2.346762484646849
2419,262144.0,"[4, 9, 25]",133.14505949243903,133.14505949243903,,12.61754131491184,residue_deduplication_only,A_uniform_hard_box,64,0.0,fb791577c5dd62246dafec2823d9aca86609435be9c6f8d97120e733a7f25c33,13,"[2, 3, 5]",262144,5.38245868508816
2419,1448.1546878630381,"[4, 9, 25]",7.295184014388379,7.2951840145134055,16.0,15.385703591017984,residue_deduplication_only,B_exact_gaussian_state,64,1.2502621160592753e-10,c0bf42c6459b6c9e7ed8e4ab535933789578d37d176d51dae75d2f87b6b759d0,13,"[2, 3, 5]",181288,2.6142964089820158
2419,262144.0,"[4, 9, 49]",133.0401191211131,133.0401191211131,,12.651327002170204,short_relation_rejection_only,A_uniform_hard_box,64,0.0,794d65eb2feb405edce14b29618b0670682934fb373bf575afff634547070b1e,13,"[2, 3, 7]",262144,5.348672997829796
2419,1448.1546878630381,"[4, 9, 49]",7.69925514845077,7.699255148450771,16.0,15.336203666565751,short_relation_rejection_only,B_exact_gaussian_state,64,8.881784197001252e-16,c3256cb5254ff338bdc3d0225d56749760622f032054ef7c4168b0a9da87b2a5,13,"[2, 3, 7]",260472,2.663796333434245
2419,262144.0,"[4, 9, 529]",133.05499450303614,133.05499450303614,,12.645337783531108,subgroup_overlap_only,A_uniform_hard_box,64,0.0,1898d6e9f27492969c60065e4a477fc5aecf0be517ec460d39d6077085339839,13,"[2, 3, 23]",262144,5.354662216468892
2419,1448.1546878630381,"[4, 9, 529]",6.093850486046759,6.09385048604676,16.0,15.767018265859864,subgroup_overlap_only,B_exact_gaussian_state,64,8.881784197001252e-16,23df782e45f934dc631cceec19734404e4301d0fe711c3138e031e7033201b7d,13,"[2, 3, 23]",262144,2.232981734140136
2419,262144.0,"[4, 9, 961]",133.12759258621372,133.12759258621372,,12.639738572154197,complete_selector,A_uniform_hard_box,64,0.0,735f86a6dca873372c2d1977ef3190d13c28590181e1d3f65a0f738750f0021d,13,"[2, 3, 31]",262144,5.360261427845803
2419,1448.1546878630381,"[4, 9, 961]",6.078786299832236,6.078786299832237,16.0,15.804138510331432,complete_selector,B_exact_gaussian_state,64,8.881784197001252e-16,2b9b0a4e54fca4bd9ad11202d22ded1124d805cf381debcff04d88b945ea0fa4,13,"[2, 3, 31]",262144,2.1958614896685678
2419,262144.0,"[25, 121, 961]",133.06121457356494,133.06121457356494,,12.64079637298255,random_coprime_roots,A_uniform_hard_box,64,0.0,0d7f22a9fb1065fdad31d81ee5a75cc05f163b0b1ac7901905bc32fd71f34d2d,13,"[5, 11, 31]",262144,5.35920362701745
2419,1448.1546878630381,"[25, 121, 961]",6.1007998149777825,6.100799814977783,16.0,15.781737986853631,random_coprime_roots,B_exact_gaussian_state,64,8.881784197001252e-16,b2e1830cd64d5c251981e18849ed386ace6580a5306e1e878dcf5eb728cb5233,13,"[5, 11, 31]",262144,2.2182620131463686
2419,262144.0,"[4, 9, 25]",133.14505949243903,133.14505949243903,,12.61754131491184,regev_small_prime_roots,A_uniform_hard_box,64,0.0,fb791577c5dd62246dafec2823d9aca86609435be9c6f8d97120e733a7f25c33,13,"[2, 3, 5]",262144,5.38245868508816
2419,1448.1546878630381,"[4, 9, 25]",7.295184014388379,7.2951840145134055,16.0,15.385703591017984,regev_small_prime_roots,B_exact_gaussian_state,64,1.2502621160592753e-10,c0bf42c6459b6c9e7ed8e4ab535933789578d37d176d51dae75d2f87b6b759d0,13,"[2, 3, 5]",181288,2.6142964089820158
2491,262144.0,"[4, 9, 25]",129.2563506673323,129.25635066733233,,12.628957985922238,residue_deduplication_only,A_uniform_hard_box,64,2.842170943040401e-14,77119b877431bb8550761249dd648b77bfb9ac5f7c4def4d917f4ef2fb15508f,13,"[2, 3, 5]",262144,5.371042014077762
2491,1448.1546878630381,"[4, 9, 25]",7.268590525930604,7.268590526053623,16.0,15.318969782922874,residue_deduplication_only,B_exact_gaussian_state,64,1.2301981655582495e-10,4638460eefae4429ec3e714b3d013d0508e01502b48b2fc73489d4758cc45f96,13,"[2, 3, 5]",149988,2.681030217077126
2491,262144.0,"[4, 9, 49]",129.41414481343236,129.41414481343236,,12.640750479714958,short_relation_rejection_only,A_uniform_hard_box,64,0.0,c1505639cd2215ab8413d08287ef1d9b05d3ad405d5040749849fd1c85b2e706,13,"[2, 3, 7]",262144,5.359249520285042
2491,1448.1546878630381,"[4, 9, 49]",5.856808999584387,5.856808999584388,16.0,15.857293229831548,short_relation_rejection_only,B_exact_gaussian_state,64,8.881784197001252e-16,8a7a9306b5995659f524cc81d36bf99bcc5435225340692af4228764ca93319c,13,"[2, 3, 7]",262144,2.142706770168452
2491,262144.0,"[4, 9, 25]",129.2563506673323,129.25635066733233,,12.628957985922238,subgroup_overlap_only,A_uniform_hard_box,64,2.842170943040401e-14,77119b877431bb8550761249dd648b77bfb9ac5f7c4def4d917f4ef2fb15508f,13,"[2, 3, 5]",262144,5.371042014077762
2491,1448.1546878630381,"[4, 9, 25]",7.268590525930604,7.268590526053623,16.0,15.318969782922874,subgroup_overlap_only,B_exact_gaussian_state,64,1.2301981655582495e-10,4638460eefae4429ec3e714b3d013d0508e01502b48b2fc73489d4758cc45f96,13,"[2, 3, 5]",149988,2.681030217077126
2491,262144.0,"[4, 9, 49]",129.41414481343236,129.41414481343236,,12.640750479714958,complete_selector,A_uniform_hard_box,64,0.0,c1505639cd2215ab8413d08287ef1d9b05d3ad405d5040749849fd1c85b2e706,13,"[2, 3, 7]",262144,5.359249520285042
2491,1448.1546878630381,"[4, 9, 49]",5.856808999584387,5.856808999584388,16.0,15.857293229831548,complete_selector,B_exact_gaussian_state,64,8.881784197001252e-16,8a7a9306b5995659f524cc81d36bf99bcc5435225340692af4228764ca93319c,13,"[2, 3, 7]",262144,2.142706770168452
2491,262144.0,"[841, 961, 49]",129.04625864280388,129.04625864280388,,12.684587998582037,random_coprime_roots,A_uniform_hard_box,64,0.0,87ffb6ed34b12d2f1bfc23ed79f7289391b93684cdc48417da7a0dd6614e9a66,13,"[29, 31, 7]",262144,5.315412001417963
2491,1448.1546878630381,"[841, 961, 49]",5.851455968431757,5.851455968431758,16.0,15.873329829939443,random_coprime_roots,B_exact_gaussian_state,64,1.7763568394002505e-15,343784848f5d3d841c6e18606af826c55241710428b05ad859ce648b83cfaa25,13,"[29, 31, 7]",262144,2.1266701700605566
2491,262144.0,"[4, 9, 25]",129.2563506673323,129.25635066733233,,12.628957985922238,regev_small_prime_roots,A_uniform_hard_box,64,2.842170943040401e-14,77119b877431bb8550761249dd648b77bfb9ac5f7c4def4d917f4ef2fb15508f,13,"[2, 3, 5]",262144,5.371042014077762
2491,1448.1546878630381,"[4, 9, 25]",7.268590525930604,7.268590526053623,16.0,15.318969782922874,regev_small_prime_roots,B_exact_gaussian_state,64,1.2301981655582495e-10,4638460eefae4429ec3e714b3d013d0508e01502b48b2fc73489d4758cc45f96,13,"[2, 3, 5]",149988,2.681030217077126
2501,262144.0,"[4, 9, 25]",130.12123145535588,130.12123145535588,,12.569296260238108,residue_deduplication_only,A_uniform_hard_box,64,0.0,dfa03785f7bbb46d67ee2d43d8e0be8faa83ce16efe5c848b4a30d6a62755de1,13,"[2, 3, 5]",262144,3.6524077479237214
2501,1448.1546878630381,"[4, 9, 25]",5.872995304715003,5.872995304715004,16.0,15.793592719402088,residue_deduplication_only,B_exact_gaussian_state,64,8.881784197001252e-16,55541858a3f5146488727e46362df5c5a50c7c6adef8007df55f841dc6d14f9d,13,"[2, 3, 5]",261608,2.19567243877529
2501,262144.0,"[4, 9, 25]",130.12123145535588,130.12123145535588,,12.569296260238108,short_relation_rejection_only,A_uniform_hard_box,64,0.0,dfa03785f7bbb46d67ee2d43d8e0be8faa83ce16efe5c848b4a30d6a62755de1,13,"[2, 3, 5]",262144,3.6524077479237214
2501,1448.1546878630381,"[4, 9, 25]",5.872995304715003,5.872995304715004,16.0,15.793592719402088,short_relation_rejection_only,B_exact_gaussian_state,64,8.881784197001252e-16,55541858a3f5146488727e46362df5c5a50c7c6adef8007df55f841dc6d14f9d,13,"[2, 3, 5]",261608,2.19567243877529
2501,262144.0,"[4, 9, 121]",128.68600269197486,128.68600269197492,,12.665797372023961,subgroup_overlap_only,A_uniform_hard_box,64,5.684341886080802e-14,2ab527e47ff6e622e736755b0e88dfecfd7aeb69e898ad8af3479ef8d52495b8,13,"[2, 3, 11]",262144,3.1703434852089902
2501,1448.1546878630381,"[4, 9, 121]",5.828542544928852,5.828542544928852,16.0,15.878866050560681,subgroup_overlap_only,B_exact_gaussian_state,64,0.0,04eb2df2227dc94d2d9c28bfc173488a117bf13656e23dfa4377286e89e0d0c3,13,"[2, 3, 11]",262144,2.0997333710406316
2501,262144.0,"[4, 9, 121]",128.68600269197486,128.68600269197492,,12.665797372023961,complete_selector,A_uniform_hard_box,64,5.684341886080802e-14,2ab527e47ff6e622e736755b0e88dfecfd7aeb69e898ad8af3479ef8d52495b8,13,"[2, 3, 11]",262144,3.1703434852089902
2501,1448.1546878630381,"[4, 9, 121]",5.828542544928852,5.828542544928852,16.0,15.878866050560681,complete_selector,B_exact_gaussian_state,64,0.0,04eb2df2227dc94d2d9c28bfc173488a117bf13656e23dfa4377286e89e0d0c3,13,"[2, 3, 11]",262144,2.0997333710406316
2501,262144.0,"[961, 289, 25]",128.62336411885917,128.62336411885917,,12.689451167724032,random_coprime_roots,A_uniform_hard_box,64,0.0,e3400ad78477d9c666d58d92917a1e606a3d7b2dfa1ed658ef5cf376b2b48571,13,"[31, 17, 5]",262144,4.376413679525497
2501,1448.1546878630381,"[961, 289, 25]",5.827558922314054,5.827558922314054,16.0,15.8816005235974,random_coprime_roots,B_exact_gaussian_state,64,0.0,b4376968c58a822af89b20d937f07e7d6a8923ab71f13c6873095a3c446eba5f,13,"[31, 17, 5]",262144,2.1183534062382297
2501,262144.0,"[4, 9, 25]",130.12123145535588,130.12123145535588,,12.569296260238108,regev_small_prime_roots,A_uniform_hard_box,64,0.0,dfa03785f7bbb46d67ee2d43d8e0be8faa83ce16efe5c848b4a30d6a62755de1,13,"[2, 3, 5]",262144,3.6524077479237214
2501,1448.1546878630381,"[4, 9, 25]",5.872995304715003,5.872995304715004,16.0,15.793592719402088,regev_small_prime_roots,B_exact_gaussian_state,64,8.881784197001252e-16,55541858a3f5146488727e46362df5c5a50c7c6adef8007df55f841dc6d14f9d,13,"[2, 3, 5]",261608,2.19567243877529
2537,262144.0,"[4, 9, 25]",126.62365524814231,126.62365524814233,,12.730533981188099,residue_deduplication_only,A_uniform_hard_box,64,1.4210854715202004e-14,26ea448d207db8009d5491a8cab35b8d716b20a61651f30d51dc8d067dd108b5,13,"[2, 3, 5]",262144,5.269466018811901
2537,1448.1546878630381,"[4, 9, 25]",5.726028354196052,5.726028354196055,16.0,15.907870949007673,residue_deduplication_only,B_exact_gaussian_state,64,2.6645352591003757e-15,aa04f37696b120ab2f9bd5fa3440bb8ba9f82c94365af18de72187bf1174470c,13,"[2, 3, 5]",262144,2.0921290509923267
