L_minus_L0_candidate_success_rate,N,all_basis_diagnostic_factor_success_rate,claim_prefix_candidate_count_mean,claim_prefix_length_mean,claim_prefix_rejected_nonrelation_rows_mean,factor_success_rate,method,model,trials,valid_L_relation_success_rate
0.0,2623,0.0,0.6875,10.0,9.28125,0.0,random_coprime_roots,A_uniform_hard_box,32,0.6875
0.0,2623,0.0,0.78125,10.0,9.21875,0.0,random_coprime_roots,B_exact_gaussian_state,32,0.78125
0.96875,2623,0.96875,2.9375,3.0,0.0625,0.96875,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.0,2623,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,A_uniform_hard_box,32,0.0
0.0,2623,0.0,0.0,10.0,10.0,0.0,regev_small_prime_roots,B_exact_gaussian_state,32,0.0
0.96875,2623,0.96875,2.90625,3.0,0.09375,0.96875,regev_small_prime_roots,C_theoretical_noisy_dual,32,0.96875
0.0,2623,0.0,0.0,10.0,10.0,0.0,residue_deduplication_only,A_uniform_hard_box,32,0.0
0.03125,2623,0.03125,0.03125,10.0,9.96875,0.03125,residue_deduplication_only,B_exact_gaussian_state,32,0.03125
1.0,2623,1.0,3.0,3.0,0.0,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.03125,2623,0.03125,0.03125,10.0,9.9375,0.03125,short_relation_rejection_only,A_uniform_hard_box,32,0.03125
0.0,2623,0.0,0.0,10.0,9.96875,0.0,short_relation_rejection_only,B_exact_gaussian_state,32,0.0
1.0,2623,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.0,2623,0.0,0.0625,10.0,9.9375,0.0,subgroup_overlap_only,A_uniform_hard_box,32,0.0625
0.0,2623,0.0,0.0,10.0,10.0,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.0
1.0,2623,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.46875,2747,0.46875,0.5,10.0,9.5,0.46875,complete_selector,A_uniform_hard_box,32,0.46875
0.1875,2747,0.1875,0.1875,10.0,9.78125,0.1875,complete_selector,B_exact_gaussian_state,32,0.1875
1.0,2747,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.03125,2747,0.03125,0.09375,10.0,9.90625,0.03125,random_coprime_roots,A_uniform_hard_box,32,0.09375
0.03125,2747,0.03125,0.03125,10.0,9.96875,0.03125,random_coprime_roots,B_exact_gaussian_state,32,0.03125
