M,N,bases,bounded_product_diversity,bounded_relation_count,bounded_relation_rank,chi_square_from_uniform,covariance_effective_rank,covariance_rank,d,distinct_order_count,entropy_deficit_bits,instance_class,joint_entropy_bits,max_entropy_bits,mean_pairwise_mutual_information_bits,method,parseval_absolute_error,posthoc_bounded_root_audit_factors,primary,relation_signal_energy,resource_M,resource_controlled_modular_multiplication_blocks,resource_d,resource_modular_exponentiation_blocks,resource_n,resource_nd,resource_qft_blocks,resource_total_qubits,resource_work_qubits,resource_x_qubits,roots,setup_factor_leak,setup_factor_leaks,shortest_relation_norm,subgroup_size,support_size,total_correlation_bits,unique_residues
32,391,"[2, 3, 7]",0.76,0,0,28.090377688407898,2.9928426193734405,3,3,2,3.4495463281085996,semiprime,11.5504536718914,15.0,1.157292306837114,random_coprime_residues,0.0,[],True,28.090377688407898,32,15,3,3,9,5,3,34,19,15,null,False,[],,352,32768,3.449546328108603,3
32,391,"[25, 121, 4]",0.64,0,0,123.29128601402041,2.9857353396447035,3,3,2,5.117837667580556,semiprime,9.882162332419444,15.0,1.7073493321916449,random_coprime_squares,2.842170943040401e-14,[],True,123.29128601402044,32,15,3,3,9,5,3,34,19,15,"[5, 11, 2]",False,[],,88,32768,5.117837667580556,3
32,391,"[5, 7, 3]",0.904,0,0,26.7694850564003,2.9995209046312823,3,3,1,3.337564312251054,semiprime,11.662435687748946,15.0,0.8009750378150086,dependency_aware,0.0,[],True,26.7694850564003,32,15,3,3,9,5,3,34,19,15,null,False,[],,352,32768,3.337564312251054,3
32,437,"[4, 9, 25]",0.664,0,0,97.2458578068763,2.9927071374657754,3,3,1,4.947925776513575,semiprime,10.052074223486425,15.0,1.5634704772001886,notebook_squared_primes,0.0,[],True,97.2458578068763,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],,99,32768,4.947925776513575,3
32,437,"[4, 9, 25]",0.664,0,0,97.2458578068763,2.9927071374657754,3,3,1,4.947925776513575,semiprime,10.052074223486425,15.0,1.5634704772001886,squared_primes_deduplicated,0.0,[],True,97.2458578068763,32,15,3,3,9,5,3,34,19,15,"[2, 3, 5]",False,[],,99,32768,4.947925776513575,3
32,437,"[2, 3, 5]",1.0,0,0,23.739502623677254,2.9951443037528294,3,3,1,3.2043831776105307,semiprime,11.79561682238947,15.0,0.6311168040670706,random_coprime_residues,0.0,[],True,23.739502623677254,32,15,3,3,9,5,3,34,19,15,null,False,[],,396,32768,3.2043831776105307,3
32,437,"[9, 49, 4]",0.44,2,1,100.49759031645954,2.98417260249617,3,3,2,4.994246252566819,semiprime,10.00575374743318,15.0,1.6021078404061047,random_coprime_squares,0.0,[19],True,100.49759031645954,32,15,3,3,9,5,3,34,19,15,"[3, 7, 2]",False,[],1.7320508075688772,99,32768,4.994246252566819,3
32,437,"[5, 2, 3]",1.0,0,0,23.739502623677254,2.9951443037528285,3,3,1,3.2043831776105307,semiprime,11.79561682238947,15.0,0.6311168040670706,dependency_aware,0.0,[],True,23.739502623677254,32,15,3,3,9,5,3,34,19,15,null,False,[],,396,32768,3.2043831776105307,3
32,4199,"[4, 9, 25]",0.88,0,0,21.853146938607097,2.9972005829661756,3,3,2,3.1477759483915584,three_prime,11.852224051608442,15.0,0.9063878680350506,notebook_squared_primes,0.0,[],True,21.853146938607097,32,15,3,3,13,5,3,42,27,15,"[2, 3, 5]",False,[],,432,32768,3.1477759483915566,3
32,4199,"[4, 9, 25]",0.88,0,0,21.853146938607097,2.9972005829661756,3,3,2,3.1477759483915584,three_prime,11.852224051608442,15.0,0.9063878680350506,squared_primes_deduplicated,0.0,[],True,21.853146938607097,32,15,3,3,13,5,3,42,27,15,"[2, 3, 5]",False,[],,432,32768,3.1477759483915566,3
