N,batches,bounded_spectral_dimension_ci_high,bounded_spectral_dimension_ci_low,bounded_spectral_dimension_mean,covariance_effective_rank_ci_high,covariance_effective_rank_ci_low,covariance_effective_rank_mean,estimated_signal_energy_ci_high,estimated_signal_energy_ci_low,estimated_signal_energy_mean,joint_entropy_bits_ci_high,joint_entropy_bits_ci_low,joint_entropy_bits_mean,mean_pairwise_mutual_information_bits_ci_high,mean_pairwise_mutual_information_bits_ci_low,mean_pairwise_mutual_information_bits_mean,method,observed_support_size_ci_high,observed_support_size_ci_low,observed_support_size_mean,relation_separation_ci_high,relation_separation_ci_low,relation_separation_mean,selected_relation_rank_ci_high,selected_relation_rank_ci_low,selected_relation_rank_mean,shots_per_batch,top_is_relation_ci_high,top_is_relation_ci_low,top_is_relation_mean,top_yields_factor_ci_high,top_yields_factor_ci_low,top_yields_factor_mean,total_correlation_bits_ci_high,total_correlation_bits_ci_low,total_correlation_bits_mean
323,200,2.0,2.0,2.0,2.876057804424068,2.859245801292838,2.867651802858453,1.0147004094456085,0.9919193193073493,1.0033098643764788,6.579692013761956,6.556405502850446,6.568048758306201,3.34159050289433,3.321463643873245,3.3315270733837874,notebook_squared_primes,103.72565127530578,102.56434872469421,103.145,0.7654613193737252,0.7532438989384838,0.7593526091561045,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,7.900350548728258,7.872159778543344,7.886255163635801
323,200,2.0,2.0,2.0,2.872642150435448,2.857352459467007,2.8649973049512276,1.0170497318316978,0.994243955652806,1.0056468437422519,6.572633430468379,6.548422284036127,6.560527857252253,3.336812214892061,3.3157589595218586,3.32628558720696,squared_primes_deduplicated,103.37592082224452,102.15407917775548,102.765,0.7696516126513276,0.757257765740683,0.7634546891960053,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,7.891684626952979,7.860925663177981,7.87630514506548
323,200,3.0,3.0,3.0,2.9492216776938047,2.940881953055979,2.945051815374892,0.18725688590691028,0.17285330389752998,0.18005509490222013,6.745822097568971,6.728234693755616,6.737028395662294,3.2091682359472022,3.1908602482585975,3.2000142421029,random_coprime_residues,112.70201154863508,111.7479884513649,112.225,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.720477074381753,7.694365285415225,7.707421179898489
323,200,3.0,3.0,3.0,2.906423931051567,2.8930650903150927,2.89974451068333,0.18794173704016592,0.16807093088843522,0.17800633396430057,6.566313883910181,6.541657797578403,6.553985840744292,3.2392324039575855,3.2204895272280303,3.229860965592808,random_coprime_squares,103.25510784300283,102.03489215699716,102.645,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.805394140397132,7.778038779404916,7.791716459901024
323,200,3.0,3.0,3.0,2.972979041959195,2.967624118297297,2.970301580128246,0.18561672216391895,0.17079742728895608,0.17820707472643751,6.877934446940094,6.865949714174294,6.871942080557194,2.9100633553944246,2.893691596923404,2.9018774761589143,dependency_aware,120.4069133487294,119.6830866512706,120.045,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.573634291256561,7.54808350949978,7.560858900378171
361,200,3.0,3.0,3.0,2.9741944307892463,2.9693440715263475,2.971769251157797,0.187931421499001,0.17371564193001637,0.18082353171450868,6.808700404050566,6.792962274900417,6.800831339475492,2.956183974768095,2.9395533328601218,2.9478686538141083,notebook_squared_primes,116.28557045479832,115.37442954520168,115.83,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.6482459341284095,7.623785662685355,7.636015798406882
361,200,3.0,3.0,3.0,2.9734259243075947,2.9679298715633866,2.9706778979354906,0.18254081588556462,0.1670380006679741,0.17478940827676936,6.801515734471142,6.786043090963203,6.793779412717172,2.960522461879125,2.944810019875813,2.952666240877469,squared_primes_deduplicated,115.82088685806299,114.92911314193701,115.375,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.655899676108188,7.632618885135262,7.644259280621725
361,200,3.0,3.0,3.0,2.9718506581005224,2.966571630228059,2.9692111441642908,0.1868660299507936,0.17259889246441312,0.17973246120760336,6.899890876080736,6.8881622235141045,6.89402654979742,2.8857384016642347,2.869477607006656,2.8776080043354453,random_coprime_residues,121.75529333536086,121.04470666463915,121.4,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.568265461390641,7.544005529774453,7.556135495582547
361,200,3.0,3.0,3.0,2.964704797435604,2.9575272285533583,2.961116012994481,0.1859067206538815,0.17124068956891134,0.17857370511139642,6.798447035160348,6.781225366721244,6.789836200940796,2.981393911737205,2.9644134357911995,2.9729036737642023,random_coprime_squares,115.72505267929712,114.74494732070288,115.235,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.650655887519414,7.6260609533287615,7.638358420424088
361,200,3.0,3.0,3.0,2.9652993382949298,2.9583289388098866,2.961814138552408,0.18203861306801275,0.16905068710124718,0.17554465008462997,6.898935592712063,6.887390954892923,6.893163273802493,2.940901997870548,2.923502712470186,2.932202355170367,dependency_aware,121.68672376922703,121.00327623077297,121.345,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.563759625913215,7.536935746920951,7.550347686417083
391,200,2.0,2.0,2.0,2.951028933735909,2.94015468745184,2.9455918105938745,0.9656081532138513,0.9420544930419062,0.9538313231278788,6.634820868553349,6.612078127229867,6.623449497891608,3.204087252342655,3.1852054206545755,3.1946463364986153,notebook_squared_primes,106.70247308725988,105.52752691274011,106.115,0.7455881286458491,0.7331019916479927,0.7393450601469209,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,7.820607288861994,7.792858304345695,7.8067327966038444
391,200,2.0,2.0,2.0,2.951267809189085,2.9414645483123945,2.94636617875074,0.9762022502896418,0.9524834804744294,0.9643428653820356,6.63166665396409,6.611182005466119,6.621424329715104,3.211573748641052,3.1931056649141087,3.2023397067775803,squared_primes_deduplicated,106.54625427240751,105.5137457275925,106.03,0.7454024406812634,0.7341465046136217,0.7397744726474426,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,7.827395173986839,7.800367690598658,7.813881432292749
391,200,3.0,3.0,3.0,2.964826304358978,2.956860434949015,2.9608433696539964,0.1861435808135382,0.17158520055270576,0.178864390683122,6.895782320639838,6.88467655922996,6.890229439934899,3.0122747151809537,2.996206947231467,3.0042408312062103,random_coprime_residues,121.47753590522159,120.80246409477841,121.14,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.568595635886694,7.545292118234882,7.556943877060788
391,200,3.0,3.0,3.0,2.9608446623008655,2.9534135687424348,2.95712911552165,0.19766477388673384,0.179426147738484,0.18854546081260892,6.6027876016184806,6.58100864042156,6.59189812102002,3.2130659185660826,3.1923449236607495,3.202705421113416,random_coprime_squares,104.99939849936194,103.85060150063805,104.425,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.860358005735,7.831014477641453,7.8456862416882265
391,200,3.0,3.0,3.0,2.970917427584781,2.9646315538654875,2.967774490725134,0.18865773664432803,0.1762766203572452,0.18246717850078661,6.901965636838343,6.890214011121218,6.89608982397978,2.9075591799141787,2.8906822759511597,2.899120727932669,dependency_aware,121.89941157020048,121.19058842979952,121.545,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.562168472318162,7.538416579417963,7.550292525868063
437,200,3.0,3.0,3.0,2.9651641620481572,2.9579113176969822,2.9615377398725697,0.20146361913634148,0.18201415774457202,0.19173888844045675,6.673053002253432,6.64989406550978,6.661473533881606,3.1492853904944473,3.1284374248168847,3.138861407655666,notebook_squared_primes,108.79833099290131,107.57166900709869,108.185,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.793017281806949,7.7654207050626605,7.779218993434805
